"PC4","population","frac","year","COPD","IHD","LC","LRI","STROKE"
"5611",13755,0.0583754190892501,"2021",6.01266816619276,44.4820693460086,8.58118660611976,11.5583329796715,8.52281118703051
"5612",11855,0.0503119297203242,"2021",5.1821287611934,38.3376904468871,7.39585366888766,9.9617620846242,7.34554173916734
"5613",6350,0.0269490302593048,"2021",2.7757501167084,20.5351610575903,3.96150744811781,5.33590799134236,3.93455841785851
"5614",3825,0.0162330772821797,"2021",1.67200696006451,12.3696048890209,2.38626236048041,3.21414930187158,2.37002928319823
"5615",7880,0.0334422611721767,"2021",3.4445529007342,25.4830030131987,4.91601239230998,6.62156771209099,4.8825701311378
"5616",12955,0.054980265670755,"2021",5.66296736408777,41.8949624411153,8.08209905360098,10.8860926028095,8.02711878793023
"5617",1790,0.00759665577388278,"2021",0.782455544709927,5.78865169969868,1.11670839876077,1.50413784322879,1.10911174298689
"5621",4375,0.0185672452573951,"2021",1.91242626151169,14.148240886135,2.72938505283708,3.67631456096422,2.71081780757968
"5622",8075,0.0342698298179349,"2021",3.52979247124729,26.1136103212664,5.03766498323643,6.78542630395111,5.0033951534185
"5623",10705,0.0454313966812375,"2021",4.67943385816747,34.618724271103,6.67841531214192,8.99541654288503,6.63298391546068
"5624",5670,0.024063149853584,"2021",2.47850443491915,18.336120188431,3.53728302847685,4.76450367100963,3.51321987862327
"5625",9925,0.0421211220982048,"2021",4.3384755761151,32.0962950388321,6.19180494843611,8.33998217544455,6.1496838263379
"5626",4145,0.0175911386495777,"2021",1.81188728090651,13.4044476509782,2.58589738148793,3.48304545261639,2.56830624283835
"5627",12120,0.0514365742902007,"2021",5.29796715189068,39.194669609133,7.56117642065951,10.1844417094597,7.50973984636931
"5628",10300,0.0437126002631244,"2021",4.50239782710181,33.3090014005008,6.42575223867929,8.65509485209863,6.38203963841616
"5629",9335,0.0396171964520647,"2021",4.08057123456266,30.1883036964733,5.82372787845351,7.84420489750881,5.78411068200144
"5631",5700,0.0241904681067776,"2021",2.49161821499809,18.4331366973645,3.5559988116963,4.78971268514196,3.53180834358953
"5632",13045,0.0553622204303357,"2021",5.70230870432458,42.1860119679158,8.13824640325935,10.9617196452065,8.08288418282901
"5633",135,0.000572932139371048,"2021",0.0590120103552179,0.436574290200738,0.084221024487544,0.113440563595467,0.083648092348173
"5641",7850,0.0333149429189832,"2021",3.43143912065527,25.3859865042652,4.89729660909052,6.59635869795866,4.86398166617154
"5642",8140,0.0345456860331876,"2021",3.55820566141833,26.323812757289,5.07821584687858,6.84004583457115,5.04367016084539
"5643",8005,0.0339727538938166,"2021",3.49919365106311,25.8872384670882,4.99399482239104,6.72660527097568,4.96002206849722
"5644",8800,0.0373466876034461,"2021",3.84670882315495,28.4581759538259,5.48996307770657,7.39464414548232,5.45261639010313
"5645",3920,0.016636251750626,"2021",1.71353393031448,12.676823833977,2.44552900734202,3.29397784662394,2.42889275559139
"5646",2390,0.0101430208377541,"2021",1.04473114628867,7.72898187836863,1.49102406314985,2.00831812587531,1.4808810423121
"5651",3760,0.015957221066927,"2021",1.64359376989348,12.1594024529983,2.34571149683826,3.15952977125154,2.32975427577134
"5652",6995,0.0296863727029665,"2021",3.05769638840555,22.6210159996605,4.36389678733608,5.87790179518737,4.33421041463311
"5653",6860,0.0291134405635955,"2021",2.99868437805033,22.1844417094597,4.27967576284853,5.7644612315919,4.25056232228494
"5654",10200,0.0432882060858125,"2021",4.45868522683869,32.9856130373891,6.36336629461444,8.57106480499088,6.32007808852863
"5655",4210,0.0178669948648305,"2021",1.84030047107754,13.6146500870008,2.62644824513008,3.53766498323643,2.60858125026525
"5656",NA,NA,"2021",NA,NA,NA,NA,NA
"5657",240,0.00101854602554853,"2021",0.104910240631499,0.776132071467979,0.149726265755634,0.201672113058609,0.148707719730085
"5658",12320,0.0522853626448245,"2021",5.38539235241693,39.8414463353563,7.6859483087892,10.3525018036753,7.63366294614438
